bonusPointsEarned,bonusPointsEarnedReason,pointsEarned,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId,receiptId,rec_createDate,rec_ScannedDate,rec_finishedDate,rec_modifyDate,pointsAwardedDate,purchaseDate,receipt_ids
5.0,All-receipts receipt bonus,5.0,2.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1cf0a720f0523000570,1970-01-01 00:26:49.687503000,1970-01-01 00:26:49.687503000,1970-01-01 00:26:49.687509000,1970-01-01 00:26:49.687509000,1970-01-01 00:26:49.687503000,1970-01-01 00:26:49.601103000,27
25.0,COMPLETE_NONPARTNER_RECEIPT,35.0,1.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1e10a720f0523000572,1970-01-01 00:26:49.687521000,1970-01-01 00:26:49.687521000,1970-01-01 00:26:49.687521000,1970-01-01 00:26:49.687526000,1970-01-01 00:26:49.687521000,1970-01-01 00:26:49.601121000,28
,,,3.0,REJECTED,3.00,5ff1e194b6a9d73a3a9f1052,5ff1e1d40a7214ada1000562,1970-01-01 00:26:49.687508000,1970-01-01 00:26:49.687508000,,1970-01-01 00:26:49.687508000,,1970-01-01 00:25:09.321600000,29
5.0,All-receipts receipt bonus,5.0,4.0,FINISHED,27.00,5ff1e1eacfcf6c399c274ae6,5ff1e1ee0a720f0523000578,1970-01-01 00:26:49.687534000,1970-01-01 00:26:49.687534000,1970-01-01 00:26:49.687534000,1970-01-01 00:26:49.687539000,1970-01-01 00:26:49.687534000,1970-01-01 00:26:49.632000000,30
300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",650.0,10.0,FINISHED,10.00,5ff370c562fde912123a5e0e,5ff371030a7214ada10005a5,1970-01-01 00:26:49.789699000,1970-01-01 00:26:49.789699000,1970-01-01 00:26:49.789700000,1970-01-01 00:26:49.789700000,1970-01-01 00:26:49.789700000,1970-01-01 00:26:48.422400000,31
5.0,All-receipts receipt bonus,55.0,1.0,FINISHED,0.99,5ff36d0362fde912123a5535,5ff36dcc0a720f05230005b1,1970-01-01 00:26:49.788876000,1970-01-01 00:26:49.788876000,1970-01-01 00:26:49.788876000,1970-01-01 00:26:49.788876000,1970-01-01 00:26:49.788876000,1970-01-01 00:26:49.788876000,32
,,500.0,9.0,FINISHED,89.91,5ff36be7135e7011bcb856d3,5ff36c750a7214ada100058f,1970-01-01 00:26:49.788533000,1970-01-01 00:26:49.788533000,1970-01-01 00:26:49.788534000,1970-01-01 00:26:49.788534000,1970-01-01 00:26:49.788534000,1970-01-01 00:26:49.702133000,33
45.0,COMPLETE_PARTNER_RECEIPT,50.0,1.0,FINISHED,1.00,54943462e4b07e684157a532,5ff36d860a720f05230005a7,1970-01-01 00:26:49.788806000,1970-01-01 00:26:49.788806000,1970-01-01 00:26:49.788806000,1970-01-01 00:26:49.788806000,1970-01-01 00:26:49.788806000,1970-01-01 00:26:49.702406000,34
45.0,COMPLETE_PARTNER_RECEIPT,50.0,1.0,FINISHED,1.00,5ff36d0362fde912123a5535,5ff36d9f0a720f05230005ab,1970-01-01 00:26:49.788831000,1970-01-01 00:26:49.788831000,1970-01-01 00:26:49.788831000,1970-01-01 00:26:49.788831000,1970-01-01 00:26:49.788831000,1970-01-01 00:26:48.406431000,35
,,250.0,5.0,FINISHED,49.95,5ff36a3862fde912123a4460,5ff36adb0a720f0523000590,1970-01-01 00:26:49.788123000,1970-01-01 00:26:49.788123000,1970-01-01 00:26:49.788124000,1970-01-01 00:26:49.788124000,1970-01-01 00:26:49.788124000,1970-01-01 00:26:49.308000000,36
